p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1013.0,294.2,0.0,1.860000e-02,4.150000e-04,3.020000e-08,3.200000e-07,1.700000e-06,1.500000e-07
902.0,289.7,1.0,1.380000e-02,4.150000e-04,3.340000e-08,3.200000e-07,1.700000e-06,1.450000e-07
802.0,285.2,2.0,9.680000e-03,4.150000e-04,3.690000e-08,3.200000e-07,1.700000e-06,1.400000e-07
710.0,279.2,3.0,5.980000e-03,4.150000e-04,4.220000e-08,3.200000e-07,1.700000e-06,1.350000e-07
628.0,273.2,4.0,3.810000e-03,4.150000e-04,4.820000e-08,3.200000e-07,1.700000e-06,1.310000e-07
554.0,267.2,5.0,2.230000e-03,4.150000e-04,5.510000e-08,3.200000e-07,1.690000e-06,1.300000e-07
487.0,261.2,6.0,1.510000e-03,4.150000e-04,6.410000e-08,3.200000e-07,1.670000e-06,1.290000e-07
426.0,254.7,7.0,1.020000e-03,4.150000e-04,7.760000e-08,3.200000e-07,1.650000e-06,1.250000e-07
372.0,248.2,8.0,6.460000e-04,4.150000e-04,9.130000e-08,3.200000e-07,1.630000e-06,1.190000e-07
324.0,241.7,9.0,4.130000e-04,4.150000e-04,1.110000e-07,3.160000e-07,1.620000e-06,1.090000e-07
281.0,235.3,10.0,2.470000e-04,4.150000e-04,1.300000e-07,3.100000e-07,1.580000e-06,9.960000e-08
243.0,228.8,11.0,9.560000e-05,4.150000e-04,1.790000e-07,2.990000e-07,1.545000e-06,8.960000e-08
209.0,222.3,12.0,2.940000e-05,4.150000e-04,2.230000e-07,2.940000e-07,1.510000e-06,7.810000e-08
179.0,215.8,13.0,8.000000e-06,4.150000e-04,3.000000e-07,2.860000e-07,1.480000e-06,6.370000e-08
153.0,215.7,14.0,5.000000e-06,4.150000e-04,4.400000e-07,2.800000e-07,1.450000e-06,5.030000e-08
130.0,215.7,15.0,3.400000e-06,4.150000e-04,5.000000e-07,2.720000e-07,1.420000e-06,3.940000e-08
111.0,215.7,16.0,3.300000e-06,4.150000e-04,6.000000e-07,2.610000e-07,1.390000e-06,3.070000e-08
95.0,215.7,17.0,3.200000e-06,4.150000e-04,7.000000e-07,2.420000e-07,1.360000e-06,2.490000e-08
81.2,216.8,18.0,3.150000e-06,4.150000e-04,1.000000e-06,2.170000e-07,1.320000e-06,1.970000e-08
69.5,217.9,19.0,3.200000e-06,4.150000e-04,1.500000e-06,1.840000e-07,1.280000e-06,1.550000e-08
59.5,219.2,20.0,3.300000e-06,4.150000e-04,2.000000e-06,1.610000e-07,1.220000e-06,1.330000e-08
51.0,220.4,21.0,3.450000e-06,4.150000e-04,2.400000e-06,1.320000e-07,1.150000e-06,1.230000e-08
43.7,221.6,22.0,3.600000e-06,4.150000e-04,2.900000e-06,1.150000e-07,1.070000e-06,1.230000e-08
37.6,222.8,23.0,3.850000e-06,4.150000e-04,3.400000e-06,1.040000e-07,9.730000e-07,1.310000e-08
32.2,223.9,24.0,4.000000e-06,4.150000e-04,4.000000e-06,9.620000e-08,8.800000e-07,1.400000e-08
27.7,225.1,25.0,4.200000e-06,4.150000e-04,4.800000e-06,8.960000e-08,7.890000e-07,1.520000e-08
19.07,228.5,27.5,4.450000e-06,4.150000e-04,6.000000e-06,8.010000e-08,7.050000e-07,1.720000e-08
13.2,233.7,30.0,4.700000e-06,4.150000e-04,7.000000e-06,6.700000e-08,6.320000e-07,2.000000e-08
9.3,239.0,32.5,4.850000e-06,4.150000e-04,8.100000e-06,4.960000e-08,5.590000e-07,2.270000e-08
6.52,245.2,35.0,4.950000e-06,4.150000e-04,8.900000e-06,3.700000e-08,5.010000e-07,2.490000e-08
4.64,251.3,37.5,5.000000e-06,4.150000e-04,8.700000e-06,2.520000e-08,4.450000e-07,2.720000e-08
3.33,257.5,40.0,5.100000e-06,4.150000e-04,7.550000e-06,1.740000e-08,3.920000e-07,2.960000e-08
2.41,263.7,42.5,5.300000e-06,4.150000e-04,5.900000e-06,1.160000e-08,3.390000e-07,3.140000e-08
1.76,269.9,45.0,5.450000e-06,4.150000e-04,4.500000e-06,7.670000e-09,2.870000e-07,3.310000e-08
1.29,275.2,47.5,5.500000e-06,4.150000e-04,3.500000e-06,5.320000e-09,2.380000e-07,3.490000e-08
0.951,275.7,50.0,5.500000e-06,4.150000e-04,2.800000e-06,3.220000e-09,1.940000e-07,3.650000e-08
