p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1018.0,272.2,0.0,4.320000e-03,4.150000e-04,2.780000e-08,3.200000e-07,1.700000e-06,1.500000e-07
897.3,268.7,1.0,3.450000e-03,4.150000e-04,2.800000e-08,3.200000e-07,1.700000e-06,1.450000e-07
789.7,265.2,2.0,2.790000e-03,4.150000e-04,2.850000e-08,3.200000e-07,1.700000e-06,1.400000e-07
693.8,261.7,3.0,2.090000e-03,4.150000e-04,3.200000e-08,3.200000e-07,1.700000e-06,1.350000e-07
608.1,255.7,4.0,1.280000e-03,4.150000e-04,3.570000e-08,3.200000e-07,1.700000e-06,1.310000e-07
531.3,249.7,5.0,8.240000e-04,4.150000e-04,4.720000e-08,3.200000e-07,1.690000e-06,1.300000e-07
462.7,243.7,6.0,5.100000e-04,4.150000e-04,5.840000e-08,3.200000e-07,1.670000e-06,1.290000e-07
401.6,237.7,7.0,2.320000e-04,4.150000e-04,7.890000e-08,3.200000e-07,1.650000e-06,1.250000e-07
347.3,231.7,8.0,1.080000e-04,4.150000e-04,1.040000e-07,3.200000e-07,1.630000e-06,1.190000e-07
299.3,225.7,9.0,5.570000e-05,4.150000e-04,1.570000e-07,3.160000e-07,1.620000e-06,1.090000e-07
256.8,219.7,10.0,2.960000e-05,4.150000e-04,2.370000e-07,3.100000e-07,1.580000e-06,9.960000e-08
219.9,219.2,11.0,1.000000e-05,4.150000e-04,3.620000e-07,2.990000e-07,1.540000e-06,8.960000e-08
188.2,218.7,12.0,6.000000e-06,4.150000e-04,5.230000e-07,2.940000e-07,1.510000e-06,7.810000e-08
161.1,218.2,13.0,5.000000e-06,4.150000e-04,7.040000e-07,2.860000e-07,1.480000e-06,6.370000e-08
137.8,217.7,14.0,4.800000e-06,4.150000e-04,8.000000e-07,2.800000e-07,1.450000e-06,5.030000e-08
117.8,217.2,15.0,4.700000e-06,4.150000e-04,9.000000e-07,2.720000e-07,1.420000e-06,3.940000e-08
100.7,216.7,16.0,4.600000e-06,4.150000e-04,1.100000e-06,2.610000e-07,1.390000e-06,3.070000e-08
86.1,216.2,17.0,4.500000e-06,4.150000e-04,1.400000e-06,2.420000e-07,1.360000e-06,2.490000e-08
73.6,215.7,18.0,4.500000e-06,4.150000e-04,1.800000e-06,2.170000e-07,1.320000e-06,1.970000e-08
62.8,215.2,19.0,4.500000e-06,4.150000e-04,2.300000e-06,1.840000e-07,1.280000e-06,1.550000e-08
53.7,215.2,20.0,4.500000e-06,4.150000e-04,2.900000e-06,1.620000e-07,1.220000e-06,1.330000e-08
45.8,215.2,21.0,4.500000e-06,4.150000e-04,3.500000e-06,1.360000e-07,1.150000e-06,1.230000e-08
39.1,215.2,22.0,4.530000e-06,4.150000e-04,3.900000e-06,1.230000e-07,1.070000e-06,1.230000e-08
33.4,215.2,23.0,4.550000e-06,4.150000e-04,4.300000e-06,1.120000e-07,9.730000e-07,1.310000e-08
28.6,215.2,24.0,4.600000e-06,4.150000e-04,4.700000e-06,1.050000e-07,8.800000e-07,1.400000e-08
24.4,215.2,25.0,4.650000e-06,4.150000e-04,5.100000e-06,9.660000e-08,7.930000e-07,1.500000e-08
16.46,215.5,27.5,4.700000e-06,4.150000e-04,5.600000e-06,8.690000e-08,7.130000e-07,1.600000e-08
11.1,217.4,30.0,4.750000e-06,4.150000e-04,6.100000e-06,7.520000e-08,6.440000e-07,1.710000e-08
7.56,220.4,32.5,4.800000e-06,4.150000e-04,6.800000e-06,6.130000e-08,5.750000e-07,1.850000e-08
5.18,227.9,35.0,4.850000e-06,4.150000e-04,7.100000e-06,5.120000e-08,5.050000e-07,2.000000e-08
3.6,235.5,37.5,4.900000e-06,4.150000e-04,7.200000e-06,3.970000e-08,4.480000e-07,2.150000e-08
2.53,243.2,40.0,4.950000e-06,4.150000e-04,6.900000e-06,3.000000e-08,3.930000e-07,2.330000e-08
1.8,250.8,42.5,5.000000e-06,4.150000e-04,5.900000e-06,2.080000e-08,3.400000e-07,2.620000e-08
1.29,258.5,45.0,5.000000e-06,4.150000e-04,4.600000e-06,1.310000e-08,2.880000e-07,3.060000e-08
0.94,265.1,47.5,5.000000e-06,4.150000e-04,3.700000e-06,8.070000e-09,2.390000e-07,3.800000e-08
0.683,265.7,50.0,4.950000e-06,4.150000e-04,2.750000e-06,4.160000e-09,1.940000e-07,6.250000e-08
0.362,260.6,55.0,4.850000e-06,4.150000e-04,1.700000e-06,2.630000e-09,1.570000e-07,1.480000e-07
0.188,250.8,60.0,4.500000e-06,4.150000e-04,1.000000e-06,1.810000e-09,1.500000e-07,2.930000e-07
0.095,240.9,65.0,4.000000e-06,4.150000e-04,5.500000e-07,1.320000e-09,1.500000e-07,5.590000e-07
0.047,230.7,70.0,3.300000e-06,4.150000e-04,3.200000e-07,1.010000e-09,1.500000e-07,1.080000e-06
0.0222,220.4,75.0,2.700000e-06,4.150000e-04,2.500000e-07,7.880000e-10,1.500000e-07,1.900000e-06
0.0103,210.1,80.0,2.000000e-06,4.074545e-04,2.300000e-07,6.330000e-10,1.500000e-07,2.960000e-06
0.00456,199.8,85.0,1.330000e-06,4.024242e-04,5.500000e-07,5.190000e-10,1.500000e-07,4.530000e-06
0.00198,199.5,90.0,8.500000e-07,3.898485e-04,8.000000e-07,4.330000e-10,1.400000e-07,6.860000e-06
0.000877,208.3,95.0,5.400000e-07,3.395455e-04,8.000000e-07,3.670000e-10,1.300000e-07,1.050000e-05
0.000407,218.6,100.0,4.000000e-07,2.452273e-04,4.000000e-07,3.140000e-10,1.200000e-07,1.710000e-05
0.0002,237.1,105.0,3.400000e-07,1.383333e-04,2.000000e-07,2.720000e-10,1.100000e-07,2.470000e-05
0.000106,259.5,110.0,2.800000e-07,7.545455e-05,5.000000e-08,2.370000e-10,9.500000e-08,3.360000e-05
6e-05,293.0,115.0,2.400000e-07,5.030303e-05,5.000000e-09,2.090000e-10,6.000000e-08,4.150000e-05
1.4e-05,333.0,120.0,2.000000e-07,4.401515e-05,5.000000e-10,1.850000e-10,3.000000e-08,5.000000e-05
