p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1010.0,287.2,0.0,1.190000e-02,4.150000e-04,2.410000e-08,3.100000e-07,1.700000e-06,1.500000e-07
896.0,281.7,1.0,8.700000e-03,4.150000e-04,2.940000e-08,3.100000e-07,1.700000e-06,1.450000e-07
792.9,276.3,2.0,6.750000e-03,4.150000e-04,3.380000e-08,3.100000e-07,1.700000e-06,1.400000e-07
700.0,270.9,3.0,4.820000e-03,4.150000e-04,3.890000e-08,3.100000e-07,1.700000e-06,1.350000e-07
616.0,265.5,4.0,3.380000e-03,4.150000e-04,4.480000e-08,3.080000e-07,1.700000e-06,1.310000e-07
541.0,260.1,5.0,2.220000e-03,4.150000e-04,5.330000e-08,3.020000e-07,1.690000e-06,1.300000e-07
474.0,253.1,6.0,1.330000e-03,4.150000e-04,6.560000e-08,2.910000e-07,1.670000e-06,1.290000e-07
413.0,246.1,7.0,7.970000e-04,4.150000e-04,7.740000e-08,2.820000e-07,1.650000e-06,1.250000e-07
359.0,239.2,8.0,4.000000e-04,4.150000e-04,9.110000e-08,2.760000e-07,1.630000e-06,1.190000e-07
310.8,232.2,9.0,1.300000e-04,4.150000e-04,1.420000e-07,2.700000e-07,1.620000e-06,1.090000e-07
267.7,225.2,10.0,4.240000e-05,4.150000e-04,1.890000e-07,2.650000e-07,1.580000e-06,9.960000e-08
230.0,225.2,11.0,1.330000e-05,4.150000e-04,3.050000e-07,2.600000e-07,1.540000e-06,8.960000e-08
197.7,225.2,12.0,6.000000e-06,4.150000e-04,4.100000e-07,2.550000e-07,1.510000e-06,7.810000e-08
170.0,225.2,13.0,4.450000e-06,4.150000e-04,5.000000e-07,2.490000e-07,1.470000e-06,6.370000e-08
146.0,225.2,14.0,4.000000e-06,4.150000e-04,6.000000e-07,2.430000e-07,1.430000e-06,5.030000e-08
126.0,225.2,15.0,4.000000e-06,4.150000e-04,7.000000e-07,2.360000e-07,1.390000e-06,3.940000e-08
108.0,225.2,16.0,4.005000e-06,4.150000e-04,8.500000e-07,2.280000e-07,1.340000e-06,3.070000e-08
