p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1013.0,257.2,0.0,1.410000e-03,4.150000e-04,1.800000e-08,3.200000e-07,1.700000e-06,1.500000e-07
887.8,259.1,1.0,1.620000e-03,4.150000e-04,2.070000e-08,3.200000e-07,1.700000e-06,1.450000e-07
777.5,255.9,2.0,1.430000e-03,4.150000e-04,2.340000e-08,3.200000e-07,1.700000e-06,1.400000e-07
679.8,252.7,3.0,1.170000e-03,4.150000e-04,2.770000e-08,3.200000e-07,1.700000e-06,1.350000e-07
593.2,247.7,4.0,7.900000e-04,4.150000e-04,3.250000e-08,3.200000e-07,1.700000e-06,1.310000e-07
515.8,240.9,5.0,4.310000e-04,4.150000e-04,3.800000e-08,3.200000e-07,1.690000e-06,1.300000e-07
446.7,234.1,6.0,2.370000e-04,4.150000e-04,4.450000e-08,3.200000e-07,1.670000e-06,1.290000e-07
385.3,227.3,7.0,1.470000e-04,4.150000e-04,7.250000e-08,3.200000e-07,1.650000e-06,1.250000e-07
330.8,220.6,8.0,3.380000e-05,4.150000e-04,1.040000e-07,3.200000e-07,1.630000e-06,1.190000e-07
282.9,217.2,9.0,2.980000e-05,4.150000e-04,2.100000e-07,3.160000e-07,1.620000e-06,1.090000e-07
241.8,217.2,10.0,2.000000e-05,4.150000e-04,3.000000e-07,3.100000e-07,1.580000e-06,9.960000e-08
206.7,217.2,11.0,1.000000e-05,4.150000e-04,3.500000e-07,2.990000e-07,1.540000e-06,8.960000e-08
176.6,217.2,12.0,6.000000e-06,4.150000e-04,4.000000e-07,2.940000e-07,1.510000e-06,7.810000e-08
151.0,217.2,13.0,4.450000e-06,4.150000e-04,6.500000e-07,2.860000e-07,1.470000e-06,6.370000e-08
129.1,217.2,14.0,4.500000e-06,4.150000e-04,9.000000e-07,2.800000e-07,1.430000e-06,5.030000e-08
110.3,217.2,15.0,4.550000e-06,4.150000e-04,1.200000e-06,2.720000e-07,1.390000e-06,3.940000e-08
94.31,216.6,16.0,4.600000e-06,4.150000e-04,1.500000e-06,2.610000e-07,1.340000e-06,3.070000e-08
80.58,216.0,17.0,4.650000e-06,4.150000e-04,1.900000e-06,2.420000e-07,1.290000e-06,2.490000e-08
68.82,215.4,18.0,4.700000e-06,4.150000e-04,2.450000e-06,2.170000e-07,1.230000e-06,1.970000e-08
58.75,214.8,19.0,4.750000e-06,4.150000e-04,3.100000e-06,1.840000e-07,1.160000e-06,1.550000e-08
