p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1013.0,299.7,0.0,2.590000e-02,4.150000e-04,2.870000e-08,3.200000e-07,1.700000e-06,1.500000e-07
904.0,293.7,1.0,1.950000e-02,4.150000e-04,3.150000e-08,3.200000e-07,1.700000e-06,1.450000e-07
805.0,287.7,2.0,1.530000e-02,4.150000e-04,3.340000e-08,3.200000e-07,1.700000e-06,1.400000e-07
715.0,283.7,3.0,8.600000e-03,4.150000e-04,3.500000e-08,3.200000e-07,1.700000e-06,1.350000e-07
633.0,277.0,4.0,4.440000e-03,4.150000e-04,3.560000e-08,3.200000e-07,1.700000e-06,1.310000e-07
559.0,270.3,5.0,3.350000e-03,4.150000e-04,3.770000e-08,3.200000e-07,1.700000e-06,1.300000e-07
492.0,263.6,6.0,2.100000e-03,4.150000e-04,3.990000e-08,3.200000e-07,1.700000e-06,1.290000e-07
432.0,257.0,7.0,1.290000e-03,4.150000e-04,4.220000e-08,3.200000e-07,1.700000e-06,1.250000e-07
378.0,250.3,8.0,7.640000e-04,4.150000e-04,4.470000e-08,3.200000e-07,1.700000e-06,1.190000e-07
329.0,243.6,9.0,4.100000e-04,4.150000e-04,5.000000e-08,3.200000e-07,1.690000e-06,1.090000e-07
286.0,237.0,10.0,1.910000e-04,4.150000e-04,5.600000e-08,3.180000e-07,1.690000e-06,9.960000e-08
247.0,230.1,11.0,7.310000e-05,4.150000e-04,6.610000e-08,3.140000e-07,1.680000e-06,8.960000e-08
213.0,223.6,12.0,2.910000e-05,4.150000e-04,7.820000e-08,3.100000e-07,1.660000e-06,7.810000e-09
182.0,217.0,13.0,9.900000e-06,4.150000e-04,9.290000e-08,3.050000e-07,1.650000e-06,6.370000e-08
156.0,210.3,14.0,6.220000e-06,4.150000e-04,1.050000e-07,3.000000e-07,1.630000e-06,5.030000e-08
132.0,203.7,15.0,4.000000e-06,4.150000e-04,1.260000e-07,2.940000e-07,1.610000e-06,3.940000e-08
111.0,197.0,16.0,3.000000e-06,4.150000e-04,1.440000e-07,2.880000e-07,1.580000e-06,3.070000e-08
93.7,194.8,17.0,2.900000e-06,4.150000e-04,2.500000e-07,2.780000e-07,1.550000e-06,2.490000e-08
78.9,198.8,18.0,2.750000e-06,4.150000e-04,5.000000e-07,2.670000e-07,1.520000e-06,1.970000e-08
66.6,202.7,19.0,2.600000e-06,4.150000e-04,9.500000e-07,2.530000e-07,1.480000e-06,1.550000e-08
56.5,206.7,20.0,2.600000e-06,4.150000e-04,1.400000e-06,2.370000e-07,1.420000e-06,1.330000e-08
48.0,210.7,21.0,2.650000e-06,4.150000e-04,1.800000e-06,2.190000e-07,1.360000e-06,1.230000e-08
40.9,214.6,22.0,2.800000e-06,4.150000e-04,2.400000e-06,2.050000e-07,1.270000e-06,1.230000e-08
35.0,217.0,23.0,2.900000e-06,4.150000e-04,3.400000e-06,1.970000e-07,1.190000e-06,1.310000e-08
30.0,219.2,24.0,3.200000e-06,4.150000e-04,4.300000e-06,1.880000e-07,1.120000e-06,1.400000e-08
25.7,221.4,25.0,3.250000e-06,4.150000e-04,5.400000e-06,1.760000e-07,1.060000e-06,1.520000e-08
17.63,227.0,27.5,3.600000e-06,4.150000e-04,7.800000e-06,1.590000e-07,9.870000e-07,1.720000e-08
12.2,232.3,30.0,4.000000e-06,4.150000e-04,9.300000e-06,1.420000e-07,9.140000e-07,2.000000e-08
8.52,237.7,32.5,4.300000e-06,4.150000e-04,9.850000e-06,1.170000e-07,8.300000e-07,2.270000e-08
6.0,243.1,35.0,4.600000e-06,4.150000e-04,9.700000e-06,9.280000e-08,7.460000e-07,2.490000e-08
4.26,248.5,37.5,4.900000e-06,4.150000e-04,8.800000e-06,6.690000e-08,6.620000e-07,2.740000e-08
3.05,254.0,40.0,5.200000e-06,4.150000e-04,7.500000e-06,4.510000e-08,5.640000e-07,3.100000e-08
2.2,259.4,42.5,5.500000e-06,4.150000e-04,5.900000e-06,2.750000e-08,4.610000e-07,3.510000e-08
1.59,264.8,45.0,5.700000e-06,4.150000e-04,4.500000e-06,1.590000e-08,3.630000e-07,3.990000e-08
1.16,269.6,47.5,5.900000e-06,4.150000e-04,3.450000e-06,9.380000e-09,2.770000e-07,4.480000e-08
0.854,270.2,50.0,6.000000e-06,4.150000e-04,2.800000e-06,4.750000e-09,2.100000e-07,5.090000e-08
0.456,263.4,55.0,6.000000e-06,4.150000e-04,1.800000e-06,3.000000e-09,1.650000e-07,5.990000e-08
0.239,253.1,60.0,6.000000e-06,4.150000e-04,1.100000e-06,2.070000e-09,1.500000e-07,6.960000e-08
0.121,236.0,65.0,5.400000e-06,4.150000e-04,6.500000e-07,1.510000e-09,1.500000e-07,9.190000e-08
0.058,218.9,70.0,4.500000e-06,4.150000e-04,3.000000e-07,1.150000e-09,1.500000e-07,1.940000e-07
0.026,201.8,75.0,3.300000e-06,4.150000e-04,1.800000e-07,8.890000e-10,1.500000e-07,5.690000e-07
0.011,184.8,80.0,2.100000e-06,4.074545e-04,3.300000e-07,7.060000e-10,1.500000e-07,1.550000e-06
0.0044,177.1,85.0,1.300000e-06,4.024242e-04,5.000000e-07,5.720000e-10,1.500000e-07,3.850000e-06
0.00172,177.0,90.0,8.500000e-07,3.898485e-04,5.200000e-07,4.710000e-10,1.400000e-07,6.590000e-06
