p_hPa,T_K,z_km,vmr_H2O,vmr_CO2,vmr_O3,vmr_N2O,vmr_CH4,vmr_CO
1013.0,288.2,0.0,7.750000e-03,4.150000e-04,2.660000e-08,3.200000e-07,1.700000e-06,1.500000e-07
898.8,281.7,1.0,6.070000e-03,4.150000e-04,2.930000e-08,3.200000e-07,1.700000e-06,1.450000e-07
795.0,275.2,2.0,4.630000e-03,4.150000e-04,3.240000e-08,3.200000e-07,1.700000e-06,1.400000e-07
701.2,266.7,3.0,3.180000e-03,4.150000e-04,3.320000e-08,3.200000e-07,1.700000e-06,1.350000e-07
616.6,262.2,4.0,2.160000e-03,4.150000e-04,3.390000e-08,3.200000e-07,1.700000e-06,1.310000e-07
540.5,255.7,5.0,1.400000e-03,4.150000e-04,3.770000e-08,3.200000e-07,1.700000e-06,1.300000e-07
472.2,249.2,6.0,9.250000e-04,4.150000e-04,4.110000e-08,3.200000e-07,1.700000e-06,1.290000e-07
411.1,242.7,7.0,5.720000e-04,4.150000e-04,5.010000e-08,3.200000e-07,1.700000e-06,1.250000e-07
356.5,236.2,8.0,3.670000e-04,4.150000e-04,5.970000e-08,3.200000e-07,1.700000e-06,1.190000e-07
306.0,229.7,9.0,1.580000e-04,4.150000e-04,9.170000e-08,3.200000e-07,1.690000e-06,1.090000e-07
265.0,223.3,10.0,7.000000e-05,4.150000e-04,1.310000e-07,3.180000e-07,1.690000e-06,9.960000e-08
227.0,216.8,11.0,3.610000e-05,4.150000e-04,2.150000e-07,3.140000e-07,1.680000e-06,8.960000e-08
194.0,216.7,12.0,1.910000e-05,4.150000e-04,3.100000e-07,3.100000e-07,1.660000e-06,7.810000e-08
165.8,216.7,13.0,1.090000e-05,4.150000e-04,3.850000e-07,3.050000e-07,1.650000e-06,6.370000e-08
141.7,216.7,14.0,5.930000e-06,4.150000e-04,5.030000e-07,3.000000e-07,1.630000e-06,5.030000e-08
121.1,216.7,15.0,5.000000e-06,4.150000e-04,6.510000e-07,2.940000e-07,1.610000e-06,3.940000e-08
103.5,216.7,16.0,3.950000e-06,4.150000e-04,8.700000e-07,2.880000e-07,1.580000e-06,3.070000e-08
