nu_cm1,S_cm3_per_mol_x1e20,xfac,tdep_exp
-4.0,8.391000e-13,1.000000,0.000000e+00
-2.0,8.359000e-13,1.000000,0.000000e+00
0.0,8.345000e-13,1.000000,0.000000e+00
2.0,8.359000e-13,1.000000,0.000000e+00
4.0,8.391000e-13,1.000000,0.000000e+00
6.0,8.439000e-13,1.000000,0.000000e+00
8.0,8.500000e-13,1.000000,0.000000e+00
10.0,8.573000e-13,1.000000,0.000000e+00
12.0,8.655000e-13,1.000000,0.000000e+00
14.0,8.750000e-13,1.000000,0.000000e+00
16.0,8.859000e-13,1.000000,0.000000e+00
18.0,8.981000e-13,1.000000,0.000000e+00
20.0,9.119000e-13,1.000000,0.000000e+00
22.0,9.273000e-13,1.000000,0.000000e+00
24.0,9.442000e-13,1.000000,0.000000e+00
26.0,9.626000e-13,1.000000,0.000000e+00
28.0,9.825000e-13,1.000000,0.000000e+00
30.0,1.004000e-12,1.000000,0.000000e+00
32.0,1.027000e-12,1.000000,0.000000e+00
34.0,1.052000e-12,1.000000,0.000000e+00
36.0,1.078000e-12,1.000000,0.000000e+00
38.0,1.106000e-12,1.000000,0.000000e+00
40.0,1.135000e-12,1.000000,0.000000e+00
42.0,1.166000e-12,1.000000,0.000000e+00
44.0,1.199000e-12,1.000000,0.000000e+00
46.0,1.233000e-12,1.000000,0.000000e+00
48.0,1.270000e-12,1.000000,0.000000e+00
50.0,1.308000e-12,1.000000,0.000000e+00
52.0,1.347000e-12,1.000000,0.000000e+00
54.0,1.389000e-12,1.000000,0.000000e+00
56.0,1.432000e-12,1.000000,0.000000e+00
58.0,1.478000e-12,1.000000,0.000000e+00
60.0,1.525000e-12,1.000000,0.000000e+00
62.0,1.574000e-12,1.000000,0.000000e+00
64.0,1.625000e-12,1.000000,0.000000e+00
66.0,1.678000e-12,1.000000,0.000000e+00
68.0,1.734000e-12,1.000000,0.000000e+00
70.0,1.791000e-12,1.000000,0.000000e+00
72.0,1.850000e-12,1.000000,0.000000e+00
74.0,1.912000e-12,1.000000,0.000000e+00
76.0,1.976000e-12,1.000000,0.000000e+00
78.0,2.042000e-12,1.000000,0.000000e+00
80.0,2.110000e-12,1.000000,0.000000e+00
82.0,2.181000e-12,1.000000,0.000000e+00
84.0,2.254000e-12,1.000000,0.000000e+00
86.0,2.329000e-12,1.000000,0.000000e+00
88.0,2.408000e-12,1.000000,0.000000e+00
90.0,2.488000e-12,1.000000,0.000000e+00
92.0,2.572000e-12,1.000000,0.000000e+00
94.0,2.658000e-12,1.000000,0.000000e+00
96.0,2.746000e-12,1.000000,0.000000e+00
98.0,2.838000e-12,1.000000,0.000000e+00
100.0,2.933000e-12,1.000000,0.000000e+00
102.0,3.030000e-12,1.000000,0.000000e+00
104.0,3.130000e-12,1.000000,0.000000e+00
106.0,3.234000e-12,1.000000,0.000000e+00
108.0,3.341000e-12,1.000000,0.000000e+00
110.0,3.451000e-12,1.000000,0.000000e+00
112.0,3.564000e-12,1.000000,0.000000e+00
114.0,3.681000e-12,1.000000,0.000000e+00
116.0,3.801000e-12,1.000000,0.000000e+00
118.0,3.925000e-12,1.000000,0.000000e+00
120.0,4.053000e-12,1.000000,0.000000e+00
122.0,4.184000e-12,1.000000,0.000000e+00
124.0,4.320000e-12,1.000000,0.000000e+00
126.0,4.459000e-12,1.000000,0.000000e+00
128.0,4.603000e-12,1.000000,0.000000e+00
130.0,4.750000e-12,1.000000,0.000000e+00
132.0,4.902000e-12,1.000000,0.000000e+00
134.0,5.059000e-12,1.000000,0.000000e+00
136.0,5.220000e-12,1.000000,0.000000e+00
