nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
0.0,2.877000e-21,8.562900e-23,6.413000
10.0,2.855000e-21,8.827840e-23,6.414000
20.0,2.731000e-21,9.182100e-23,6.275000
30.0,2.490000e-21,9.796020e-23,6.049000
40.0,2.178000e-21,1.139710e-22,5.789000
50.0,1.863000e-21,1.376484e-22,5.557000
60.0,1.595000e-21,1.544904e-22,5.330000
70.0,1.381000e-21,1.507922e-22,5.107000
80.0,1.221000e-21,1.386438e-22,4.893000
90.0,1.095000e-21,1.215105e-22,4.685000
100.0,9.882000e-22,1.062604e-22,4.481000
110.0,8.926000e-22,9.151380e-23,4.282000
120.0,8.041000e-22,8.008000e-23,4.090000
130.0,7.217000e-22,6.970302e-23,3.905000
140.0,6.450000e-22,6.054750e-23,3.720000
150.0,5.740000e-22,5.243129e-23,3.548000
160.0,5.088000e-22,4.559360e-23,3.379000
170.0,4.492000e-22,3.762800e-23,3.215000
180.0,3.952000e-22,3.054901e-23,3.056000
190.0,3.466000e-22,2.562640e-23,2.903000
200.0,3.031000e-22,2.197152e-23,2.756000
210.0,2.644000e-22,1.809267e-23,2.614000
220.0,2.302000e-22,1.483440e-23,2.475000
230.0,2.001000e-22,1.167269e-23,2.344000
240.0,1.738000e-22,8.809307e-24,2.219000
250.0,1.509000e-22,7.130614e-24,2.100000
260.0,1.311000e-22,5.932630e-24,1.983000
270.0,1.139000e-22,5.171887e-24,1.873000
280.0,9.913000e-23,4.220168e-24,1.768000
290.0,8.639000e-23,3.427428e-24,1.670000
300.0,7.544000e-23,2.685861e-24,1.575000
310.0,6.603000e-23,2.095871e-24,1.486000
320.0,5.794000e-23,1.858127e-24,1.450000
330.0,5.096000e-23,1.475934e-24,1.432000
340.0,4.495000e-23,1.100543e-24,1.429000
350.0,3.974000e-23,8.588344e-25,1.431000
360.0,3.523000e-23,6.498760e-25,1.428000
370.0,3.130000e-23,4.874671e-25,1.458000
380.0,2.786000e-23,3.860516e-25,1.517000
390.0,2.485000e-23,3.000811e-25,1.570000
400.0,2.221000e-23,2.343264e-25,1.628000
410.0,1.987000e-23,2.087365e-25,1.689000
420.0,1.780000e-23,1.771056e-25,1.753000
430.0,1.596000e-23,1.588460e-25,1.819000
440.0,1.433000e-23,1.408050e-25,1.886000
450.0,1.287000e-23,1.180898e-25,1.976000
460.0,1.156000e-23,1.024386e-25,2.032000
470.0,1.040000e-23,9.223488e-26,2.106000
480.0,9.349000e-24,7.915559e-26,2.190000
490.0,8.410000e-24,6.692405e-26,2.259000
500.0,7.568000e-24,5.720098e-26,2.330000
510.0,6.810000e-24,5.124893e-26,2.397000
520.0,6.130000e-24,4.477977e-26,2.466000
530.0,5.517000e-24,3.844422e-26,2.537000
540.0,4.967000e-24,3.266567e-26,2.613000
550.0,4.471000e-24,2.851453e-26,2.675000
560.0,4.025000e-24,2.472992e-26,2.746000
570.0,3.624000e-24,2.123504e-26,2.819000
580.0,3.262000e-24,1.768349e-26,2.893000
590.0,2.937000e-24,1.480505e-26,2.970000
600.0,2.644000e-24,1.267462e-26,3.058000
610.0,2.381000e-24,1.074284e-26,3.144240
620.0,2.143000e-24,9.204184e-27,3.260918
630.0,1.930000e-24,7.847692e-27,3.352320
640.0,1.737000e-24,6.641140e-27,3.438955
650.0,1.564000e-24,5.713990e-27,3.526880
660.0,1.413000e-24,4.957844e-27,3.597750
670.0,1.282973e-24,4.372499e-27,3.646100
680.0,1.171414e-24,3.933836e-27,3.681040
690.0,1.076239e-24,3.517561e-27,3.699585
700.0,9.939556e-25,3.207716e-27,3.721275
